0.0	31
5.0	31.031151832460733	74.89458420968415
10.0	31.07007334639325	72.66953274443654
15.0	31.106998151429366	72.96097024478217
20.0	31.148833375849087	75.07964907836953
25.0	31.200688917053842	78.43681116759319
30.0	31.26512587541339	80.41234660493262
35.0	31.341569505536505	81.31688809764213
40.0	31.429462878044763	530.1625821578106
45.0	32.41653134297417	539.8056195991805
50.0	33.5526072015558	524.7153899632822
55.00000000000001	34.7984278456115	82.19009031542112
60.0	34.93501269042024	81.34108300690258
65.0	35.08616250775004	79.23788111840386
70.0	35.24969454768076	79.11557232900572
75.0	35.432252901645036	79.89438436462468
80.0	35.62756025732189	81.80976256082226
85.0	35.841716604927925	82.98472774670977
90.0	36.07261363058995	83.6569962112178
95.0	36.31895216805688	84.94748050694602
100.0	36.58530189402997	85.65774337711542
